Label (Grouping),Year,Total:,No schooling completed,Nursery school,Kindergarten,1st grade,2nd grade,3rd grade,4th grade,5th grade,6th grade,7th grade,8th grade,9th grade,10th grade,11th grade,"12th grade, no diploma",Regular high school diploma,GED or alternative credential,"Some college, less than 1 year","Some college, 1 or more years, no degree",Associate's degree,Bachelor's degree,Master's degree,Professional school degree,Doctorate degree
Census Tract 82.03; Multnomah County; Oregon!!Estimate,2022,"4,026",0,0,0,0,0,8,0,63,0,56,0,0,56,17,107,"1,217",117,252,786,384,648,207,91,17
Census Tract 82.04; Multnomah County; Oregon!!Estimate,2022,"1,656",76,54,0,0,0,0,0,28,0,0,14,24,0,15,133,468,7,142,295,202,62,117,11,8
Census Tract 83.01; Multnomah County; Oregon!!Estimate,2022,"3,079",179,0,0,0,21,24,0,0,26,0,153,79,24,39,121,653,83,78,477,233,640,174,16,59
Census Tract 83.02; Multnomah County; Oregon!!Estimate,2022,"3,943",146,0,0,0,0,23,38,55,22,0,10,0,137,41,169,796,162,234,565,525,646,326,30,18
Census Tract 84; Multnomah County; Oregon!!Estimate,2022,"3,376",127,0,0,0,0,0,0,9,41,17,107,101,44,77,126,637,170,516,400,284,612,101,0,7
Census Tract 85; Multnomah County; Oregon!!Estimate,2022,"2,967",186,0,12,0,0,0,0,0,13,10,0,55,33,88,87,577,189,326,408,259,509,148,37,30
Census Tract 86; Multnomah County; Oregon!!Estimate,2022,"2,835",79,0,0,0,0,0,0,13,0,63,10,0,15,59,134,574,143,299,412,351,450,134,20,79
Census Tract 87; Multnomah County; Oregon!!Estimate,2022,"3,568",178,0,0,20,9,0,0,38,0,0,20,69,20,51,37,668,369,215,469,203,805,278,27,92
Census Tract 88; Multnomah County; Oregon!!Estimate,2022,"3,117",123,0,0,0,0,0,0,0,41,3,21,8,23,14,22,632,113,119,543,299,688,291,148,29
Census Tract 89.02; Multnomah County; Oregon!!Estimate,2022,"3,131",64,0,0,0,0,0,59,0,0,0,0,0,50,48,74,684,279,189,470,417,592,152,11,42
Census Tract 89.03; Multnomah County; Oregon!!Estimate,2022,"3,567",56,0,0,0,0,0,0,0,0,0,23,34,44,17,67,559,110,271,650,402,688,446,175,25
Census Tract 89.04; Multnomah County; Oregon!!Estimate,2022,"3,495",76,0,0,6,46,93,0,4,0,0,64,7,122,1,50,892,103,258,435,339,682,243,74,0
Census Tract 90.01; Multnomah County; Oregon!!Estimate,2022,"3,760",23,0,0,0,0,0,0,0,55,8,2,1,124,14,284,"1,250",133,248,587,423,418,190,0,0
Census Tract 90.02; Multnomah County; Oregon!!Estimate,2022,"2,907",123,0,0,44,44,0,0,0,103,0,0,7,0,55,59,530,174,468,355,384,422,71,59,9
Census Tract 91.01; Multnomah County; Oregon!!Estimate,2022,"4,170",302,0,0,0,48,19,0,86,88,41,5,73,87,84,146,972,293,287,526,378,631,104,0,0
Census Tract 91.02; Multnomah County; Oregon!!Estimate,2022,"4,417",105,0,0,0,0,15,26,8,44,38,23,0,129,39,76,"1,346",150,439,637,310,611,167,221,33
Census Tract 92.02; Multnomah County; Oregon!!Estimate,2022,"4,195",129,0,0,33,0,0,0,127,71,0,56,89,56,104,94,774,462,197,689,608,413,214,34,45
Census Tract 92.03; Multnomah County; Oregon!!Estimate,2022,"2,186",52,0,0,30,0,0,22,8,0,0,36,31,0,39,145,425,54,161,236,159,479,295,14,0
Census Tract 92.04; Multnomah County; Oregon!!Estimate,2022,"3,091",99,0,0,0,30,0,0,0,24,19,0,5,3,47,114,448,457,262,587,283,632,81,0,0
Census Tract 93.01; Multnomah County; Oregon!!Estimate,2022,"3,810",86,0,0,0,0,33,10,0,102,1,0,87,2,53,105,"1,060",78,259,803,304,725,77,2,23
Census Tract 93.02; Multnomah County; Oregon!!Estimate,2022,"3,651",98,0,0,0,0,0,0,0,0,0,0,0,53,28,150,526,262,499,575,394,734,236,26,70
Census Tract 94; Multnomah County; Oregon!!Estimate,2022,"5,491",94,0,0,25,15,0,0,0,69,0,18,35,49,36,109,789,54,765,759,503,"1,590",422,123,36
Census Tract 95.01; Multnomah County; Oregon!!Estimate,2022,"3,251",148,0,0,0,0,10,0,0,0,31,0,0,35,19,126,747,106,239,542,282,650,267,39,10
Census Tract 95.02; Multnomah County; Oregon!!Estimate,2022,"2,731",92,0,0,0,0,0,0,0,1,21,0,0,35,87,55,570,79,155,311,269,652,294,75,35
Census Tract 96.03; Multnomah County; Oregon!!Estimate,2022,"2,441",120,0,0,0,7,5,0,8,8,0,70,0,33,36,118,737,68,271,411,216,222,111,0,0
Census Tract 96.04; Multnomah County; Oregon!!Estimate,2022,"3,859",407,0,0,0,152,17,0,18,171,0,0,52,14,42,40,805,247,349,616,256,531,120,8,14
Census Tract 96.05; Multnomah County; Oregon!!Estimate,2022,"4,590",57,0,0,0,0,0,0,0,17,0,122,246,78,49,84,997,100,597,662,388,811,240,0,142
Census Tract 96.06; Multnomah County; Oregon!!Estimate,2022,"3,632",134,0,0,0,0,0,0,51,198,0,127,108,97,59,125,990,164,251,610,158,315,193,31,21
Census Tract 97.01; Multnomah County; Oregon!!Estimate,2022,"3,180",71,0,0,0,0,0,0,23,0,70,10,25,91,6,57,820,189,308,652,370,262,226,0,0
Census Tract 97.03; Multnomah County; Oregon!!Estimate,2022,"3,633",167,0,0,0,0,0,45,0,0,0,259,0,20,126,97,661,282,155,696,565,381,147,14,18
Census Tract 97.04; Multnomah County; Oregon!!Estimate,2022,"2,590",0,0,0,0,0,15,0,0,91,181,20,273,71,136,16,459,160,142,394,272,307,39,0,14
Census Tract 98.01; Multnomah County; Oregon!!Estimate,2022,"2,586",134,0,0,0,0,0,0,53,0,22,0,41,99,37,72,446,53,293,603,290,298,107,0,38
Census Tract 98.03; Multnomah County; Oregon!!Estimate,2022,"5,168",107,0,0,52,93,0,0,35,84,0,9,93,79,66,292,"1,034",359,247,"1,059",522,710,254,34,39
Census Tract 98.04; Multnomah County; Oregon!!Estimate,2022,"2,384",191,0,0,0,0,0,0,0,125,0,0,91,40,17,125,389,191,213,490,105,255,80,18,54
Census Tract 99.03; Multnomah County; Oregon!!Estimate,2022,"5,721",101,57,0,0,0,0,0,0,78,0,47,0,28,41,289,913,178,380,"1,166",545,"1,224",518,86,70
Census Tract 99.04; Multnomah County; Oregon!!Estimate,2022,"2,493",40,0,0,0,1,0,0,35,9,0,31,13,27,0,53,592,55,259,488,290,442,115,43,0
Census Tract 99.05; Multnomah County; Oregon!!Estimate,2022,"2,230",0,0,0,0,0,0,0,0,20,0,16,0,22,32,105,497,137,155,282,413,329,161,61,0
Census Tract 99.06; Multnomah County; Oregon!!Estimate,2022,"2,994",43,0,0,0,0,12,0,0,0,0,0,0,29,21,28,303,57,251,606,267,"1,009",280,70,18
Census Tract 99.07; Multnomah County; Oregon!!Estimate,2022,"4,000",40,0,0,0,26,0,11,0,13,0,36,76,11,67,92,881,303,374,540,421,660,306,88,55
Census Tract 100.01; Multnomah County; Oregon!!Estimate,2022,"4,472",109,0,0,0,0,0,0,0,71,14,0,27,193,49,88,949,308,419,701,387,604,478,41,34
Census Tract 100.02; Multnomah County; Oregon!!Estimate,2022,"4,067",86,0,0,0,0,0,0,0,30,12,0,0,62,17,13,725,273,184,"1,222",417,740,216,56,14
Census Tract 101.01; Multnomah County; Oregon!!Estimate,2022,"2,864",0,0,0,0,34,0,0,55,105,0,0,80,17,75,62,534,286,422,368,312,314,186,14,0
Census Tract 101.02; Multnomah County; Oregon!!Estimate,2022,"3,152",19,0,0,101,64,67,0,0,74,0,21,0,16,197,47,467,51,137,586,373,601,220,46,65
Census Tract 102; Multnomah County; Oregon!!Estimate,2022,"5,302",82,0,0,0,0,50,18,0,18,0,66,139,37,138,86,"1,025",288,746,804,569,916,243,19,58
Census Tract 103.03; Multnomah County; Oregon!!Estimate,2022,"3,751",89,0,0,0,0,0,35,0,23,0,88,13,1,13,47,835,213,297,578,467,566,341,78,67
Census Tract 103.04; Multnomah County; Oregon!!Estimate,2022,"3,097",109,0,0,0,0,49,33,19,162,45,54,133,56,68,59,851,174,216,435,248,209,131,46,0
Census Tract 103.05; Multnomah County; Oregon!!Estimate,2022,"2,395",113,6,0,0,0,17,0,0,0,0,0,8,21,23,28,521,110,220,512,295,391,121,9,0
Census Tract 103.06; Multnomah County; Oregon!!Estimate,2022,"3,199",109,0,0,0,0,0,0,0,0,0,0,30,27,8,85,840,114,357,511,349,637,78,30,24
Census Tract 104.02; Multnomah County; Oregon!!Estimate,2022,"4,150",69,43,0,0,0,0,0,57,54,0,0,0,12,57,37,897,151,351,790,411,851,288,57,25
Census Tract 104.05; Multnomah County; Oregon!!Estimate,2022,"4,113",37,0,0,0,0,0,51,27,0,0,0,28,102,0,100,"1,302",151,475,576,481,451,178,117,37
Census Tract 104.07; Multnomah County; Oregon!!Estimate,2022,"4,092",41,9,0,0,0,0,0,0,65,0,0,93,25,43,20,806,257,404,977,370,629,303,40,10
Census Tract 104.08; Multnomah County; Oregon!!Estimate,2022,"4,538",49,0,0,0,40,0,0,0,38,0,98,71,132,147,224,"1,149",214,441,459,635,774,64,0,3
Census Tract 104.10; Multnomah County; Oregon!!Estimate,2022,"3,313",24,0,0,0,0,0,0,0,0,0,63,114,158,17,130,700,391,277,543,290,354,225,19,8
Census Tract 104.11; Multnomah County; Oregon!!Estimate,2022,"2,486",59,0,0,0,0,0,0,0,0,0,0,91,191,52,19,669,104,279,417,288,168,116,33,0
Census Tract 104.12; Multnomah County; Oregon!!Estimate,2022,"2,201",9,0,0,0,0,0,0,0,0,0,0,0,16,32,46,606,102,266,320,171,505,116,12,0
Census Tract 104.13; Multnomah County; Oregon!!Estimate,2022,"3,417",118,0,0,0,0,0,0,0,71,0,0,0,0,0,43,659,142,500,620,219,570,409,31,35
Census Tract 105; Multnomah County; Oregon!!Estimate,2022,"2,723",3,2,0,0,0,0,0,0,11,0,0,11,31,9,76,428,53,240,366,314,847,241,31,60
Census Tract 106.01; Multnomah County; Oregon!!Estimate,2022,"1,305",25,0,0,0,0,0,0,0,0,0,52,0,0,0,0,163,45,95,303,112,216,192,50,52
Census Tract 106.02; Multnomah County; Oregon!!Estimate,2022,"1,879",0,0,0,0,0,0,0,0,44,0,12,23,19,25,0,347,190,224,543,0,321,51,50,30
Census Tract 9800; Multnomah County; Oregon!!Estimate,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
