Label (Grouping),Year,Total:,No Formal Education,Nursery school,Kindergarten,1st grade,2nd grade,3rd grade,4th grade,5th grade,6th grade,7th grade,8th grade,9th grade,10th grade,11th grade,"12th grade, no diploma",Regular high school diploma,GED or alternative credential,"Some college, less than 1 year","Some college, 1 or more years, no degree",Associate's degree,Bachelor's degree,Master's degree,Professional school degree,Doctorate degree
"Census Tract 40.02, Multnomah County, Oregon!!Estimate",2019,"3,109",8,0,0,11,0,0,0,0,0,0,22,0,0,48,38,337,101,176,266,254,"1,036",614,101,97
"Census Tract 41.01, Multnomah County, Oregon!!Estimate",2019,"5,560",38,0,0,0,0,45,0,119,145,0,0,101,99,151,56,816,134,391,"1,020",483,"1,396",406,115,45
"Census Tract 41.02, Multnomah County, Oregon!!Estimate",2019,"4,287",100,0,0,0,0,0,10,0,0,0,26,86,25,15,95,620,97,174,497,278,"1,478",675,69,42
"Census Tract 42, Multnomah County, Oregon!!Estimate",2019,"2,953",0,0,0,0,0,0,0,0,0,0,7,8,12,41,58,487,117,142,400,174,952,429,67,59
"Census Tract 43, Multnomah County, Oregon!!Estimate",2019,799,8,0,0,0,0,0,0,0,0,0,0,0,0,0,10,137,2,34,104,48,239,153,28,36
"Census Tract 45, Multnomah County, Oregon!!Estimate",2019,"2,194",0,0,0,0,0,0,0,0,0,0,0,16,0,0,22,88,11,28,277,100,822,511,213,106
"Census Tract 46.01, Multnomah County, Oregon!!Estimate",2019,"2,660",25,0,0,0,0,0,0,0,0,0,0,0,0,0,43,112,24,114,107,63,927,623,433,189
"Census Tract 46.02, Multnomah County, Oregon!!Estimate",2019,"1,641",0,9,0,0,0,0,0,4,0,0,0,7,0,8,0,15,23,26,103,42,693,376,222,113
"Census Tract 47, Multnomah County, Oregon!!Estimate",2019,"3,911",0,0,0,0,0,0,0,0,0,4,12,0,0,0,13,286,53,103,313,190,"1,577",793,195,372
"Census Tract 48, Multnomah County, Oregon!!Estimate",2019,"2,499",0,0,0,0,0,0,0,0,0,0,8,46,0,0,0,179,14,83,358,30,"1,277",275,83,146
"Census Tract 49, Multnomah County, Oregon!!Estimate",2019,"4,298",0,0,0,0,0,0,0,0,0,0,4,0,0,14,0,466,86,241,468,198,"1,800",759,223,39
"Census Tract 50, Multnomah County, Oregon!!Estimate",2019,"3,315",0,0,0,0,0,0,0,0,0,0,14,8,0,10,14,103,25,74,250,139,"1,414",686,366,212
"Census Tract 51, Multnomah County, Oregon!!Estimate",2019,"8,283",0,0,0,0,0,0,0,0,14,0,6,89,109,44,26,765,360,322,"1,121",396,"3,378","1,204",293,156
"Census Tract 52, Multnomah County, Oregon!!Estimate",2019,"3,799",23,0,0,0,0,0,2,19,0,0,6,2,6,56,3,143,130,228,631,236,"1,553",498,88,175
"Census Tract 55, Multnomah County, Oregon!!Estimate",2019,"1,944",45,0,0,0,0,0,0,0,0,0,6,62,29,28,9,58,111,111,293,78,607,341,70,96
"Census Tract 56, Multnomah County, Oregon!!Estimate",2019,"3,285",69,0,0,0,0,0,0,0,0,16,22,0,12,14,0,283,163,162,616,330,753,558,171,116
"Census Tract 57, Multnomah County, Oregon!!Estimate",2019,"3,414",43,0,0,0,0,0,0,18,12,0,20,0,0,26,19,163,13,155,406,149,"1,258",606,281,245
"Census Tract 58, Multnomah County, Oregon!!Estimate",2019,"3,669",0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,124,49,94,250,197,"1,257",702,564,429
"Census Tract 59, Multnomah County, Oregon!!Estimate",2019,"7,486",0,0,0,0,0,39,0,0,0,0,23,0,0,0,43,296,36,140,715,499,"2,900","1,647",758,390
"Census Tract 60.01, Multnomah County, Oregon!!Estimate",2019,"1,214",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,13,9,166,35,481,239,150,72
"Census Tract 60.02, Multnomah County, Oregon!!Estimate",2019,"1,731",0,0,0,0,0,0,0,0,0,0,0,0,6,16,0,127,17,88,151,78,707,323,148,70
"Census Tract 61, Multnomah County, Oregon!!Estimate",2019,"1,969",14,0,0,0,0,0,0,0,0,4,0,0,34,0,6,167,27,0,189,65,719,457,179,108
"Census Tract 62, Multnomah County, Oregon!!Estimate",2019,"2,414",0,0,0,0,0,0,0,0,1,0,0,0,0,6,0,53,66,117,229,166,"1,011",507,147,111
"Census Tract 63, Multnomah County, Oregon!!Estimate",2019,"3,280",27,0,0,0,0,0,0,0,0,0,0,11,0,11,9,168,21,106,386,102,"1,185",637,488,129
