Census Tract,Year,Education Total,No Formal Education,Elementary School,Middle School,High School,Some college/no degree,Bachelor's degree,Graduate Degree
"Census Tract 80.02, Multnomah County, Oregon",2019,"2,184",97,17,70,717,729,382,172
"Census Tract 81, Multnomah County, Oregon",2019,"5,850",122,28,83,2135,1718,"1,218",546
"Census Tract 82.01, Multnomah County, Oregon",2019,"2,298",42,14,56,574,753,562,297
"Census Tract 82.02, Multnomah County, Oregon",2019,"6,160",101,107,317,2346,1915,813,561
"Census Tract 83.01, Multnomah County, Oregon",2019,"3,187",273,50,141,1116,962,556,89
"Census Tract 83.02, Multnomah County, Oregon",2019,"3,481",51,166,84,1347,1102,490,241
"Census Tract 84, Multnomah County, Oregon",2019,"3,089",131,73,154,1205,1068,312,146
"Census Tract 85, Multnomah County, Oregon",2019,"3,183",129,51,13,1204,1096,488,202
"Census Tract 86, Multnomah County, Oregon",2019,"3,058",86,39,86,1057,1123,468,199
"Census Tract 87, Multnomah County, Oregon",2019,"3,800",52,87,52,1162,990,972,485
"Census Tract 88, Multnomah County, Oregon",2019,"3,224",0,52,60,923,1105,716,368
"Census Tract 89.01, Multnomah County, Oregon",2019,"7,330",197,81,215,2210,2576,"1,257",794
"Census Tract 89.02, Multnomah County, Oregon",2019,"2,825",43,83,19,877,1013,570,220
"Census Tract 90, Multnomah County, Oregon",2019,"7,185",162,192,359,2826,2572,608,466
"Census Tract 91.01, Multnomah County, Oregon",2019,"3,991",99,174,162,1844,1229,419,64
"Census Tract 91.02, Multnomah County, Oregon",2019,"4,540",128,52,88,1883,1589,498,302
"Census Tract 92.01, Multnomah County, Oregon",2019,"5,622",100,209,86,2289,2081,743,114
"Census Tract 92.02, Multnomah County, Oregon",2019,"3,520",205,93,205,1184,1144,474,215
"Census Tract 93.01, Multnomah County, Oregon",2019,"4,529",61,38,168,1612,1686,634,330
"Census Tract 93.02, Multnomah County, Oregon",2019,"3,134",55,0,55,1051,1132,559,282
"Census Tract 94, Multnomah County, Oregon",2019,"5,325",98,21,132,1726,1842,"1,043",463
"Census Tract 95.01, Multnomah County, Oregon",2019,"3,318",54,0,79,1201,1167,534,283
"Census Tract 95.02, Multnomah County, Oregon",2019,"2,827",28,11,14,780,951,672,371
"Census Tract 96.03, Multnomah County, Oregon",2019,"2,452",46,34,27,960,1068,277,40
"Census Tract 96.04, Multnomah County, Oregon",2019,"3,282",322,180,118,1025,1237,268,132
"Census Tract 96.05, Multnomah County, Oregon",2019,"4,000",34,2,324,1278,1343,722,297
"Census Tract 96.06, Multnomah County, Oregon",2019,"3,651",67,88,335,1305,1393,272,191
"Census Tract 97.01, Multnomah County, Oregon",2019,"3,941",43,68,154,1525,1690,302,159
"Census Tract 97.02, Multnomah County, Oregon",2019,"5,208",67,76,388,2341,1754,431,151
"Census Tract 98.01, Multnomah County, Oregon",2019,"2,730",44,125,129,1336,779,207,110
"Census Tract 98.03, Multnomah County, Oregon",2019,"5,393",249,50,184,1794,2039,734,343
"Census Tract 98.04, Multnomah County, Oregon",2019,"2,292",69,15,83,821,841,389,74
"Census Tract 99.03, Multnomah County, Oregon",2019,"4,672",163,0,69,930,1815,"1,030",665
"Census Tract 99.04, Multnomah County, Oregon",2019,"2,511",6,26,49,856,977,435,162
