Census Tract,Year,House Total,Under 50K,50K-100K,100K-250K,250K-500K,500K-1M,1M-1.5M,1.5M-2M,2M+,Education Total,No Formal Education,Elementary School,Middle School,High School,Some college/no degree,Bachelor's degree,Graduate Degree
"Census Tract 40.02, Multnomah County, Oregon",2021,1213,0,0,15,582,614,2,0,0,3224,15,0,16,536,846,1023,788
"Census Tract 40.03, Multnomah County, Oregon",2021,1526,16,29,196,1154,131,0,0,0,4817,158,97,98,1577,1470,962,455
"Census Tract 41.02, Multnomah County, Oregon",2021,1589,10,0,143,1151,259,0,0,26,4107,67,0,40,984,888,1416,712
"Census Tract 41.03, Multnomah County, Oregon",2021,1218,0,0,59,938,221,0,0,0,3200,20,21,12,645,881,1114,507
"Census Tract 41.04, Multnomah County, Oregon",2021,464,0,15,14,322,113,0,0,0,2111,35,126,54,521,767,398,210
"Census Tract 42, Multnomah County, Oregon",2021,876,5,26,141,516,188,0,0,0,3548,14,0,37,672,1058,1287,480
"Census Tract 43, Multnomah County, Oregon",2021,391,5,0,15,176,187,8,0,0,824,6,0,0,152,149,279,238
"Census Tract 45, Multnomah County, Oregon",2021,639,0,0,0,96,395,130,15,3,2511,38,0,0,122,494,878,979
"Census Tract 46.01, Multnomah County, Oregon",2021,1346,14,0,8,218,624,312,134,36,2788,19,0,0,135,293,984,1357
"Census Tract 46.02, Multnomah County, Oregon",2021,635,0,0,27,61,240,193,64,50,1550,0,3,0,58,216,583,690
"Census Tract 47, Multnomah County, Oregon",2021,599,0,0,0,148,313,57,69,12,3361,0,20,18,459,486,1363,1015
"Census Tract 48, Multnomah County, Oregon",2021,294,0,0,0,175,76,0,11,32,2207,1,0,11,248,548,905,494
"Census Tract 49.01, Multnomah County, Oregon",2021,378,0,0,0,166,152,43,17,0,2595,0,0,1,101,542,1295,656
"Census Tract 49.02, Multnomah County, Oregon",2021,158,0,0,0,47,111,0,0,0,1857,0,0,0,216,520,712,409
"Census Tract 50.01, Multnomah County, Oregon",2021,533,0,0,0,351,144,38,0,0,2825,0,0,22,178,335,1262,1028
"Census Tract 50.02, Multnomah County, Oregon",2021,158,14,0,70,0,74,0,0,0,846,0,0,0,0,230,389,227
"Census Tract 51.01, Multnomah County, Oregon",2021,667,0,0,0,157,277,196,0,37,3145,0,0,0,389,656,985,1115
"Census Tract 51.02, Multnomah County, Oregon",2021,737,0,24,0,210,333,71,27,72,2654,0,0,0,239,340,911,1164
"Census Tract 51.03, Multnomah County, Oregon",2021,278,0,0,0,251,27,0,0,0,2214,0,0,22,978,517,385,312
"Census Tract 52.01, Multnomah County, Oregon",2021,74,0,0,54,20,0,0,0,0,1682,0,16,12,239,643,457,315
"Census Tract 52.02, Multnomah County, Oregon",2021,485,0,0,25,339,85,22,0,14,2320,14,0,0,183,169,1189,765
"Census Tract 55, Multnomah County, Oregon",2021,359,14,0,23,156,139,11,16,0,2040,50,0,9,298,450,720,513
"Census Tract 56.01, Multnomah County, Oregon",2021,290,0,0,25,101,164,0,0,0,2234,66,108,53,236,458,737,576
"Census Tract 56.02, Multnomah County, Oregon",2021,31,0,0,31,0,0,0,0,0,846,30,0,38,206,265,227,80
"Census Tract 57.01, Multnomah County, Oregon",2021,37,0,0,0,0,37,0,0,0,361,0,0,0,65,53,154,89
"Census Tract 57.02, Multnomah County, Oregon",2021,758,0,0,62,451,211,34,0,0,3138,0,33,21,174,715,1269,926
"Census Tract 58, Multnomah County, Oregon",2021,1198,0,0,86,89,790,154,56,23,3625,15,0,25,146,756,1241,1442
"Census Tract 59.01, Multnomah County, Oregon",2021,440,0,0,36,109,295,0,0,0,2199,0,0,22,38,549,1042,548
"Census Tract 59.02, Multnomah County, Oregon",2021,683,15,0,19,82,468,52,47,0,2914,0,0,0,69,341,1029,1475
"Census Tract 59.03, Multnomah County, Oregon",2021,1035,0,0,0,697,313,13,0,12,2723,0,0,0,97,520,1176,930
"Census Tract 60.01, Multnomah County, Oregon",2021,434,0,0,13,87,267,51,12,4,1194,0,0,0,33,151,567,443
"Census Tract 60.02, Multnomah County, Oregon",2021,743,6,3,11,92,626,5,0,0,1818,0,0,0,193,299,710,616
"Census Tract 61, Multnomah County, Oregon",2021,863,12,0,15,118,647,63,0,8,2023,8,0,6,191,195,824,799
"Census Tract 62, Multnomah County, Oregon",2021,1104,0,8,11,352,717,6,0,10,2522,1,0,2,176,495,1098,750
"Census Tract 63, Multnomah County, Oregon",2021,1512,11,11,5,350,576,192,224,143,3391,14,0,0,194,614,1393,1176
"Census Tract 64.02, Multnomah County, Oregon",2021,2223,16,0,81,670,1390,66,0,0,4687,0,33,0,289,789,1745,1831
"Census Tract 64.03, Multnomah County, Oregon",2021,905,0,0,24,458,410,13,0,0,3202,49,0,146,444,938,1119,506
"Census Tract 64.04, Multnomah County, Oregon",2021,1169,6,21,184,413,528,17,0,0,2781,8,0,0,342,754,862,815
"Census Tract 65.01, Multnomah County, Oregon",2021,1973,21,0,19,963,883,55,32,0,4431,0,0,24,564,1111,1577,1155
"Census Tract 65.02, Multnomah County, Oregon",2021,1381,0,0,330,450,573,14,0,14,3814,0,0,1,385,1087,1519,822
"Census Tract 66.01, Multnomah County, Oregon",2021,1023,0,7,29,351,606,23,7,0,2233,0,0,0,164,499,921,649
"Census Tract 66.02, Multnomah County, Oregon",2021,1229,0,0,51,466,663,49,0,0,4266,0,0,51,335,934,1522,1424
"Census Tract 67.01, Multnomah County, Oregon",2021,866,16,0,0,286,535,18,11,0,2344,5,0,0,260,437,1000,642
"Census Tract 67.02, Multnomah County, Oregon",2021,812,0,0,18,317,470,7,0,0,2547,8,0,91,296,515,965,672
"Census Tract 68.01, Multnomah County, Oregon",2021,592,8,0,0,95,410,79,0,0,1591,0,0,10,257,249,508,567
"Census Tract 68.02, Multnomah County, Oregon",2021,1114,0,0,10,145,896,41,10,12,2766,80,0,3,174,528,975,1006
"Census Tract 69, Multnomah County, Oregon",2021,938,0,11,30,79,387,199,75,157,1976,0,0,0,145,304,771,756
"Census Tract 70.01, Multnomah County, Oregon",2021,1938,0,0,0,611,1071,205,37,14,3928,0,0,0,161,495,1511,1761
"Census Tract 70.02, Multnomah County, Oregon",2021,941,0,0,0,59,564,171,87,60,2145,5,0,0,71,320,836,913
"Census Tract 71, Multnomah County, Oregon",2021,782,9,10,44,126,437,143,0,13,1782,0,18,0,314,654,504,292
"Census Tract 72.01, Multnomah County, Oregon",2021,924,168,128,150,328,150,0,0,0,2096,24,14,10,560,789,343,356
"Census Tract 72.02, Multnomah County, Oregon",2021,889,81,56,67,472,183,19,0,11,2495,49,58,123,326,907,788,244
"Census Tract 73, Multnomah County, Oregon",2021,80,0,5,25,15,30,5,0,0,934,7,4,31,423,444,15,10
"Census Tract 74, Multnomah County, Oregon",2021,711,66,17,52,294,277,0,0,5,2332,39,66,98,447,724,586,372
"Census Tract 75, Multnomah County, Oregon",2021,1220,53,0,99,834,177,42,0,15,3614,39,5,28,834,906,1199,603
"Census Tract 76, Multnomah County, Oregon",2021,931,90,42,134,573,92,0,0,0,2501,81,0,134,718,629,710,229
"Census Tract 77, Multnomah County, Oregon",2021,675,9,26,136,496,8,0,0,0,1759,8,0,40,562,523,467,159
"Census Tract 78, Multnomah County, Oregon",2021,467,6,0,34,318,109,0,0,0,1571,34,1,50,571,511,265,139
"Census Tract 79, Multnomah County, Oregon",2021,1065,0,6,105,840,114,0,0,0,3152,127,0,109,958,1028,618,312
"Census Tract 80.01, Multnomah County, Oregon",2021,902,0,0,114,715,73,0,0,0,2388,75,0,24,712,829,583,165
"Census Tract 80.02, Multnomah County, Oregon",2021,797,12,10,68,656,51,0,0,0,2494,45,0,86,812,915,456,180
"Census Tract 81, Multnomah County, Oregon",2021,1205,35,0,113,1057,0,0,0,0,6073,126,59,109,2665,1439,1199,476
"Census Tract 82.01, Multnomah County, Oregon",2021,752,12,0,86,528,126,0,0,0,2448,140,27,53,539,687,628,374
"Census Tract 82.03, Multnomah County, Oregon",2021,984,0,15,243,650,57,19,0,0,4202,0,125,73,1659,1451,634,260
"Census Tract 82.04, Multnomah County, Oregon",2021,671,54,85,162,349,0,21,0,0,1857,131,22,264,797,511,53,79
"Census Tract 83.01, Multnomah County, Oregon",2021,652,7,0,138,471,36,0,0,0,2884,206,60,72,809,874,605,258
"Census Tract 83.02, Multnomah County, Oregon",2021,877,93,0,131,653,0,0,0,0,3531,149,90,49,1257,1177,511,298
"Census Tract 84, Multnomah County, Oregon",2021,791,0,55,205,523,8,0,0,0,3183,189,7,154,993,1153,560,127
"Census Tract 85, Multnomah County, Oregon",2021,871,10,0,166,591,104,0,0,0,3045,194,9,26,1130,1023,469,194
"Census Tract 86, Multnomah County, Oregon",2021,1034,145,0,135,665,89,0,0,0,3064,99,26,89,1050,1063,508,229
"Census Tract 87, Multnomah County, Oregon",2021,1392,11,0,158,1056,167,0,0,0,3755,138,66,17,1329,871,861,473
"Census Tract 88, Multnomah County, Oregon",2021,1093,8,0,217,812,47,0,0,9,3151,41,5,59,899,1052,695,400
"Census Tract 89.02, Multnomah County, Oregon",2021,606,0,0,60,476,70,0,0,0,3185,29,68,0,1139,1107,638,204
"Census Tract 89.03, Multnomah County, Oregon",2021,1398,32,0,54,917,357,19,0,19,3439,50,35,19,753,1264,582,736
"Census Tract 89.04, Multnomah County, Oregon",2021,1020,50,72,61,684,153,0,0,0,3649,59,97,100,1172,1210,703,308
"Census Tract 90.01, Multnomah County, Oregon",2021,1180,42,40,88,919,91,0,0,0,3913,0,0,58,1804,1421,386,244
"Census Tract 90.02, Multnomah County, Oregon",2021,489,0,89,36,364,0,0,0,0,3027,29,67,110,1024,1257,319,221
"Census Tract 91.01, Multnomah County, Oregon",2021,1060,65,48,287,593,67,0,0,0,3987,137,66,171,1586,1463,506,58
"Census Tract 91.02, Multnomah County, Oregon",2021,1469,31,48,376,932,82,0,0,0,4303,40,55,144,1754,1413,491,406
"Census Tract 92.02, Multnomah County, Oregon",2021,1103,27,8,337,672,45,0,0,14,4241,163,151,122,1483,1571,481,270
"Census Tract 92.03, Multnomah County, Oregon",2021,742,67,6,98,524,47,0,0,0,2286,55,81,44,845,631,334,296
"Census Tract 92.04, Multnomah County, Oregon",2021,854,34,0,142,621,23,0,0,34,3003,122,16,30,1058,1158,526,93
"Census Tract 93.01, Multnomah County, Oregon",2021,999,43,0,163,746,47,0,0,0,4475,139,22,190,1219,1970,674,261
"Census Tract 93.02, Multnomah County, Oregon",2021,950,40,14,121,738,37,0,0,0,3714,88,0,0,1146,1341,842,297
"Census Tract 94, Multnomah County, Oregon",2021,2310,13,0,226,1860,211,0,0,0,5370,77,63,51,1202,2024,1457,496
"Census Tract 95.01, Multnomah County, Oregon",2021,1304,75,16,190,855,168,0,0,0,3353,156,0,67,1040,1165,675,250
"Census Tract 95.02, Multnomah County, Oregon",2021,906,12,8,18,792,76,0,0,0,2828,71,0,27,833,759,694,444
"Census Tract 96.03, Multnomah County, Oregon",2021,887,12,0,137,738,0,0,0,0,2397,124,34,37,887,1002,196,117
"Census Tract 96.04, Multnomah County, Oregon",2021,910,57,27,255,571,0,0,0,0,3663,274,156,113,1141,1392,443,144
"Census Tract 96.05, Multnomah County, Oregon",2021,1263,0,0,125,1100,38,0,0,0,4256,45,0,192,1554,1528,657,280
"Census Tract 96.06, Multnomah County, Oregon",2021,701,41,0,105,546,9,0,0,0,3682,153,50,320,1489,1138,307,225
"Census Tract 97.01, Multnomah County, Oregon",2021,1036,2,0,222,812,0,0,0,0,3192,97,17,109,1145,1333,255,236
"Census Tract 97.03, Multnomah County, Oregon",2021,1020,132,48,297,513,30,0,0,0,3558,78,50,347,1157,1268,384,274
"Census Tract 97.04, Multnomah County, Oregon",2021,1042,17,0,128,897,0,0,0,0,2812,0,0,334,1094,1007,318,59
"Census Tract 98.01, Multnomah County, Oregon",2021,498,88,47,149,196,8,10,0,0,2438,107,30,94,1015,856,261,75
"Census Tract 98.03, Multnomah County, Oregon",2021,1366,24,12,295,1007,17,11,0,0,5136,82,172,108,1832,1807,802,333
"Census Tract 98.04, Multnomah County, Oregon",2021,662,18,29,103,467,45,0,0,0,2480,211,0,127,824,807,407,104
"Census Tract 99.03, Multnomah County, Oregon",2021,2222,0,0,117,1660,404,18,0,23,5327,126,0,127,1280,2014,1026,754
"Census Tract 99.04, Multnomah County, Oregon",2021,818,11,8,181,583,35,0,0,0,2543,23,44,63,730,1080,444,159
"Census Tract 99.05, Multnomah County, Oregon",2021,902,31,0,113,741,17,0,0,0,2233,0,0,13,696,877,398,249
"Census Tract 99.06, Multnomah County, Oregon",2021,1355,21,7,56,1005,266,0,0,0,2990,38,0,0,617,1043,959,333
"Census Tract 99.07, Multnomah County, Oregon",2021,1617,16,21,117,915,479,69,0,0,4043,51,41,54,1398,1333,699,467
"Census Tract 100.01, Multnomah County, Oregon",2021,738,0,21,121,496,77,0,0,23,4407,61,28,109,1681,1358,700,470
"Census Tract 100.02, Multnomah County, Oregon",2021,1286,33,0,135,1047,46,0,0,25,3938,66,0,11,1020,1654,849,338
"Census Tract 101.01, Multnomah County, Oregon",2021,853,99,13,138,603,0,0,0,0,2874,10,90,83,1179,1017,342,153
"Census Tract 101.02, Multnomah County, Oregon",2021,781,0,0,75,706,0,0,0,0,3154,0,133,0,967,1226,490,338
"Census Tract 102, Multnomah County, Oregon",2021,2134,315,221,149,1280,169,0,0,0,5454,81,86,125,1844,2176,888,254
"Census Tract 103.03, Multnomah County, Oregon",2021,1142,24,74,104,869,52,0,0,19,3752,52,35,106,1315,1238,603,403
"Census Tract 103.04, Multnomah County, Oregon",2021,858,249,1,114,443,51,0,0,0,3168,62,127,193,1374,978,230,204
"Census Tract 103.05, Multnomah County, Oregon",2021,934,49,63,81,689,45,7,0,0,2374,69,15,0,725,1031,388,146
"Census Tract 103.06, Multnomah County, Oregon",2021,1231,0,34,57,1094,46,0,0,0,3222,86,0,0,1009,1230,726,171
"Census Tract 104.02, Multnomah County, Oregon",2021,1589,12,15,43,973,513,33,0,0,4282,94,64,68,1206,1672,849,329
"Census Tract 104.05, Multnomah County, Oregon",2021,1149,24,0,86,980,59,0,0,0,4353,12,45,0,1581,1685,692,338
"Census Tract 104.07, Multnomah County, Oregon",2021,1127,29,0,39,922,137,0,0,0,3878,39,0,120,1131,1707,475,406
"Census Tract 104.08, Multnomah County, Oregon",2021,1436,330,81,79,863,83,0,0,0,4320,54,39,147,1808,1449,747,76
"Census Tract 104.10, Multnomah County, Oregon",2021,721,18,0,261,416,26,0,0,0,3117,0,0,34,1465,1016,422,180
"Census Tract 104.11, Multnomah County, Oregon",2021,629,80,38,225,286,0,0,0,0,2298,53,13,17,1000,938,205,72
"Census Tract 104.12, Multnomah County, Oregon",2021,882,15,0,47,675,145,0,0,0,2169,10,0,0,738,807,524,90
"Census Tract 104.13, Multnomah County, Oregon",2021,1110,0,0,35,1024,51,0,0,0,3448,31,0,118,854,1439,480,526
"Census Tract 105, Multnomah County, Oregon",2021,1199,22,0,62,526,524,36,0,29,2763,34,0,8,595,913,877,336
"Census Tract 106.01, Multnomah County, Oregon",2021,265,0,0,0,122,95,0,48,0,1349,21,15,51,273,566,169,254
"Census Tract 106.02, Multnomah County, Oregon",2021,21,0,0,0,21,0,0,0,0,1871,15,18,37,520,919,270,92
"Census Tract 9800, Multnomah County, Oregon",2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Census Tract 1.01; Multnomah County; Oregon,2022,747,49,0,31,256,344,67,0,0,2368,0,0,1,225,410,1050,682
Census Tract 1.02; Multnomah County; Oregon,2022,1151,0,29,41,216,800,65,0,0,2925,0,0,0,249,569,1208,899
Census Tract 2.01; Multnomah County; Oregon,2022,856,0,0,0,197,642,17,0,0,2645,46,0,0,457,664,775,703
Census Tract 2.02; Multnomah County; Oregon,2022,654,16,0,0,132,506,0,0,0,2457,33,13,15,259,648,754,735
Census Tract 3.01; Multnomah County; Oregon,2022,1018,0,0,0,229,741,39,9,0,3565,0,0,48,466,1103,1066,882
Census Tract 3.02; Multnomah County; Oregon,2022,2461,13,0,0,167,1924,331,26,0,5274,61,0,0,333,875,1731,2274
Census Tract 4.01; Multnomah County; Oregon,2022,1098,6,0,7,346,705,34,0,0,2694,7,0,11,417,618,868,773
Census Tract 4.02; Multnomah County; Oregon,2022,1003,0,0,34,558,405,6,0,0,2593,11,0,0,390,718,976,498
Census Tract 5.01; Multnomah County; Oregon,2022,1295,10,18,6,835,417,9,0,0,3227,36,11,105,490,831,1210,544
Census Tract 5.02; Multnomah County; Oregon,2022,1282,18,0,28,991,245,0,0,0,3638,135,3,49,623,1200,974,654
Census Tract 6.01; Multnomah County; Oregon,2022,1520,1,0,46,1030,434,0,0,9,4033,117,22,53,1480,1049,847,465
Census Tract 6.02; Multnomah County; Oregon,2022,1185,36,0,59,873,212,0,0,5,4288,152,7,119,1895,1047,665,403
Census Tract 7.01; Multnomah County; Oregon,2022,1370,0,23,58,714,575,0,0,0,3765,37,0,27,644,1208,1193,656
Census Tract 7.02; Multnomah County; Oregon,2022,1410,0,16,13,942,405,34,0,0,4434,105,34,0,994,1222,1235,844
Census Tract 8.01; Multnomah County; Oregon,2022,1257,18,0,28,320,891,0,0,0,3700,0,17,14,348,968,1229,1124
Census Tract 8.02; Multnomah County; Oregon,2022,1109,0,8,0,600,501,0,0,0,3773,56,0,75,703,1084,1418,437
Census Tract 9.01; Multnomah County; Oregon,2022,883,0,0,13,135,675,60,0,0,3075,0,0,0,305,568,1320,882
Census Tract 9.02; Multnomah County; Oregon,2022,693,0,10,0,328,355,0,0,0,4078,69,26,11,704,1300,1387,581
Census Tract 10; Multnomah County; Oregon,2022,1222,9,28,51,324,769,41,0,0,4677,74,0,59,544,1576,1283,1141
Census Tract 11.01; Multnomah County; Oregon,2022,173,0,0,0,46,69,58,0,0,2714,0,0,43,406,824,959,482
Census Tract 11.02; Multnomah County; Oregon,2022,367,0,0,0,22,256,59,0,30,1142,7,0,0,84,209,476,366
Census Tract 12.02; Multnomah County; Oregon,2022,979,25,5,13,71,673,170,0,22,2681,0,0,21,418,429,956,857
Census Tract 12.03; Multnomah County; Oregon,2022,407,0,0,0,85,322,0,0,0,2476,0,0,22,343,575,1077,459
Census Tract 12.04; Multnomah County; Oregon,2022,158,0,0,14,26,118,0,0,0,2358,12,0,73,243,487,1077,466
Census Tract 13.01; Multnomah County; Oregon,2022,678,6,0,0,217,413,42,0,0,3352,44,0,0,262,784,1486,776
Census Tract 13.02; Multnomah County; Oregon,2022,998,0,0,8,119,858,13,0,0,2965,8,0,0,251,518,1201,987
Census Tract 14; Multnomah County; Oregon,2022,1413,0,47,31,328,946,61,0,0,4747,82,0,18,332,1059,1998,1258
Census Tract 15; Multnomah County; Oregon,2022,1119,0,10,0,72,961,52,6,18,2720,5,0,0,169,498,1020,1028
Census Tract 16.01; Multnomah County; Oregon,2022,1686,26,0,37,363,1148,99,13,0,4690,16,7,0,1052,961,1551,1103
Census Tract 16.02; Multnomah County; Oregon,2022,1504,64,29,38,1217,156,0,0,0,3770,90,31,50,800,1130,1219,450
Census Tract 17.02; Multnomah County; Oregon,2022,832,0,0,37,540,252,0,0,3,3019,39,32,30,718,753,1058,389
Census Tract 17.03; Multnomah County; Oregon,2022,1112,26,0,92,525,469,0,0,0,3163,21,0,11,413,734,1188,796
Census Tract 17.04; Multnomah County; Oregon,2022,979,0,0,199,346,434,0,0,0,2297,0,0,0,648,411,763,475
Census Tract 18.01; Multnomah County; Oregon,2022,740,0,0,0,288,452,0,0,0,3534,12,4,0,764,931,1075,748
Census Tract 18.02; Multnomah County; Oregon,2022,823,0,0,6,189,592,23,13,0,2948,0,0,13,261,706,1179,789
Census Tract 19; Multnomah County; Oregon,2022,1606,0,0,12,30,1222,236,78,28,3656,8,0,7,250,597,1326,1468
Census Tract 20.01; Multnomah County; Oregon,2022,425,0,8,29,99,243,30,16,0,2050,15,0,0,185,362,1062,426
Census Tract 20.02; Multnomah County; Oregon,2022,340,33,0,0,64,222,21,0,0,3096,9,0,0,382,917,1190,598
Census Tract 21.01; Multnomah County; Oregon,2022,0,0,0,0,0,0,0,0,0,1528,0,0,35,239,260,633,361
Census Tract 21.02; Multnomah County; Oregon,2022,93,0,0,6,18,67,2,0,0,1925,0,0,0,161,515,768,481
Census Tract 22.03; Multnomah County; Oregon,2022,688,0,5,0,128,506,45,4,0,3689,0,0,0,438,531,1195,1525
Census Tract 23.03; Multnomah County; Oregon,2022,242,0,0,78,20,144,0,0,0,3088,29,0,48,507,861,1005,638
Census Tract 24.01; Multnomah County; Oregon,2022,890,0,4,78,17,567,176,48,0,2362,0,0,16,281,293,814,958
Census Tract 24.02; Multnomah County; Oregon,2022,632,0,0,22,222,292,78,0,18,2947,0,0,0,504,597,1294,552
Census Tract 25.01; Multnomah County; Oregon,2022,1638,0,0,10,29,1090,436,73,0,3471,17,0,6,142,457,1267,1582
Census Tract 25.02; Multnomah County; Oregon,2022,743,28,0,9,165,310,196,0,35,3532,33,0,0,242,754,1517,986
Census Tract 26; Multnomah County; Oregon,2022,1126,0,108,0,46,776,188,8,0,2181,0,0,0,236,303,1030,612
Census Tract 27.01; Multnomah County; Oregon,2022,1137,0,0,0,32,939,158,8,0,2264,0,0,22,160,398,928,756
Census Tract 27.02; Multnomah County; Oregon,2022,648,0,0,10,71,553,14,0,0,2937,23,24,0,258,544,1326,762
Census Tract 28.01; Multnomah County; Oregon,2022,1080,8,13,0,93,890,76,0,0,2427,14,0,5,283,476,1006,643
Census Tract 28.02; Multnomah County; Oregon,2022,945,0,0,9,192,714,30,0,0,2399,4,17,0,347,540,867,624
Census Tract 29.01; Multnomah County; Oregon,2022,1416,0,7,31,587,791,0,0,0,3871,50,28,0,532,1131,1440,690
Census Tract 29.02; Multnomah County; Oregon,2022,1866,17,0,0,952,871,26,0,0,4877,70,79,91,775,1234,1350,1278
Census Tract 29.03; Multnomah County; Oregon,2022,875,0,0,12,616,201,46,0,0,3197,91,71,0,631,1346,604,454
Census Tract 30; Multnomah County; Oregon,2022,1858,0,34,30,317,1473,4,0,0,4164,106,0,0,321,1376,1379,982
Census Tract 31; Multnomah County; Oregon,2022,1390,47,0,0,63,1063,196,21,0,4218,1,13,0,450,968,1415,1371
Census Tract 32; Multnomah County; Oregon,2022,1228,17,22,7,213,901,68,0,0,3405,0,0,24,428,582,1289,1082
Census Tract 33.01; Multnomah County; Oregon,2022,548,0,10,22,147,352,17,0,0,2294,43,0,4,332,710,654,551
Census Tract 33.02; Multnomah County; Oregon,2022,817,0,10,0,165,549,93,0,0,2834,0,0,0,655,698,701,780
Census Tract 34.01; Multnomah County; Oregon,2022,796,11,17,9,148,601,10,0,0,2838,8,0,10,493,513,1098,716
Census Tract 34.02; Multnomah County; Oregon,2022,588,25,0,0,227,336,0,0,0,3680,0,0,26,797,636,1622,599
Census Tract 35.01; Multnomah County; Oregon,2022,809,0,0,9,233,534,33,0,0,3003,21,40,13,353,681,1308,587
Census Tract 35.02; Multnomah County; Oregon,2022,580,0,0,7,32,467,74,0,0,2524,8,0,0,684,343,1088,401
Census Tract 36.01; Multnomah County; Oregon,2022,1335,124,0,126,342,671,72,0,0,3439,25,0,0,411,1080,1292,631
Census Tract 36.02; Multnomah County; Oregon,2022,2187,26,0,48,420,1693,0,0,0,4937,52,0,70,511,1381,1988,935
Census Tract 36.03; Multnomah County; Oregon,2022,526,9,0,31,139,313,21,0,13,1426,64,25,7,296,260,544,230
Census Tract 37.01; Multnomah County; Oregon,2022,1004,0,9,9,352,634,0,0,0,3589,117,0,19,514,1128,1130,681
Census Tract 37.02; Multnomah County; Oregon,2022,748,39,0,4,144,484,77,0,0,2075,0,13,5,199,448,835,575
Census Tract 38.01; Multnomah County; Oregon,2022,764,0,0,19,411,322,12,0,0,2184,23,0,5,350,592,749,465
Census Tract 38.02; Multnomah County; Oregon,2022,868,12,0,6,395,455,0,0,0,2628,45,0,27,358,756,954,488
Census Tract 38.03; Multnomah County; Oregon,2022,926,0,0,29,314,583,0,0,0,3314,41,0,0,379,757,1480,657
Census Tract 39.02; Multnomah County; Oregon,2022,1168,16,9,18,329,759,19,0,18,2875,0,24,25,488,679,960,699
Census Tract 39.03; Multnomah County; Oregon,2022,621,7,0,5,357,252,0,0,0,2580,0,40,34,533,570,929,474
Census Tract 39.04; Multnomah County; Oregon,2022,1336,11,0,29,617,679,0,0,0,3147,0,82,43,207,1048,1233,534
Census Tract 40.02; Multnomah County; Oregon,2022,1183,0,0,0,536,644,3,0,0,3112,5,10,14,573,855,971,684
Census Tract 40.03; Multnomah County; Oregon,2022,1575,14,37,108,1106,310,0,0,0,5015,181,147,75,1415,1547,1073,577
Census Tract 41.02; Multnomah County; Oregon,2022,1664,0,12,132,1060,420,0,0,40,3889,71,0,39,816,959,1259,745
Census Tract 41.03; Multnomah County; Oregon,2022,1226,11,0,55,838,322,0,0,0,3014,28,29,13,765,822,815,542
Census Tract 41.04; Multnomah County; Oregon,2022,531,13,16,14,299,189,0,0,0,2094,27,101,35,519,785,442,185
Census Tract 42; Multnomah County; Oregon,2022,902,5,23,116,542,216,0,0,0,3404,10,0,19,558,966,1419,432
Census Tract 43; Multnomah County; Oregon,2022,392,0,0,8,164,186,34,0,0,834,4,0,0,156,165,276,233
Census Tract 45; Multnomah County; Oregon,2022,604,0,0,0,54,277,235,32,6,2610,38,0,0,136,520,804,1112
Census Tract 46.01; Multnomah County; Oregon,2022,1360,16,0,15,147,536,361,239,46,2887,27,0,0,183,280,1077,1320
Census Tract 46.02; Multnomah County; Oregon,2022,632,0,7,29,32,239,188,84,53,1585,0,6,0,84,198,562,735
Census Tract 47; Multnomah County; Oregon,2022,674,0,0,0,167,297,122,72,16,3150,11,19,9,532,378,1123,1078
Census Tract 48; Multnomah County; Oregon,2022,272,0,0,0,115,77,47,11,22,2178,1,0,10,242,595,811,519
Census Tract 49.01; Multnomah County; Oregon,2022,438,0,0,24,140,103,153,18,0,2926,62,0,2,89,708,1358,707
Census Tract 49.02; Multnomah County; Oregon,2022,127,0,0,0,46,30,51,0,0,1661,0,0,0,144,599,562,356
Census Tract 50.01; Multnomah County; Oregon,2022,549,0,0,0,301,204,27,17,0,2983,0,0,32,147,342,1395,1067
Census Tract 50.02; Multnomah County; Oregon,2022,161,14,0,73,17,23,34,0,0,871,0,0,0,32,152,401,286
Census Tract 51.01; Multnomah County; Oregon,2022,709,0,0,14,166,308,169,23,29,3522,0,0,0,498,596,1180,1248
Census Tract 51.02; Multnomah County; Oregon,2022,739,0,0,22,212,356,112,0,37,2833,0,0,0,229,499,1035,1070
Census Tract 51.03; Multnomah County; Oregon,2022,298,0,0,0,219,30,49,0,0,2673,3,0,125,1004,677,351,513
Census Tract 52.01; Multnomah County; Oregon,2022,76,0,0,50,26,0,0,0,0,1772,0,23,24,325,429,481,490
Census Tract 52.02; Multnomah County; Oregon,2022,440,0,0,0,214,183,29,0,14,2447,20,0,0,221,461,1041,704
Census Tract 55; Multnomah County; Oregon,2022,329,13,0,24,148,125,19,0,0,2037,45,0,7,305,503,664,513
Census Tract 56.01; Multnomah County; Oregon,2022,289,15,0,20,103,151,0,0,0,2096,87,111,52,252,409,648,537
Census Tract 56.02; Multnomah County; Oregon,2022,0,0,0,0,0,0,0,0,0,773,35,0,38,205,267,138,90
Census Tract 57.01; Multnomah County; Oregon,2022,55,0,0,0,0,55,0,0,0,508,0,0,0,67,58,232,151
Census Tract 57.02; Multnomah County; Oregon,2022,852,0,0,20,408,379,28,17,0,3371,0,0,0,169,719,1264,1219
Census Tract 58; Multnomah County; Oregon,2022,1184,0,0,28,90,627,298,102,39,3679,15,0,28,147,782,1277,1430
Census Tract 59.01; Multnomah County; Oregon,2022,309,0,9,27,25,248,0,0,0,2056,0,0,8,109,579,826,534
