Census Tract,Year,House Total,Under 50K,50K-100K,100K-250K,250K-500K,500K-1M,1M-1.5M,1.5M-2M,2M+,Education Total,No Formal Education,Elementary School,Middle School,High School,Some college/no degree,Bachelor's degree,Graduate Degree
"Census Tract 80.01, Multnomah County, Oregon",2019,671,0,7,180,442,27,0,0,15,2345,52,0,14,648,955,428,248
"Census Tract 80.02, Multnomah County, Oregon",2019,786,7,8,208,563,0,0,0,0,2184,97,17,70,717,729,382,172
"Census Tract 81, Multnomah County, Oregon",2019,1155,0,33,283,839,0,0,0,0,5850,122,28,83,2135,1718,1218,546
"Census Tract 82.01, Multnomah County, Oregon",2019,652,12,0,119,479,35,0,0,7,2298,42,14,56,574,753,562,297
"Census Tract 82.02, Multnomah County, Oregon",2019,1324,65,0,457,781,0,21,0,0,6160,101,107,317,2346,1915,813,561
"Census Tract 83.01, Multnomah County, Oregon",2019,560,16,13,166,355,10,0,0,0,3187,273,50,141,1116,962,556,89
"Census Tract 83.02, Multnomah County, Oregon",2019,919,46,10,326,537,0,0,0,0,3481,51,166,84,1347,1102,490,241
"Census Tract 84, Multnomah County, Oregon",2019,765,8,20,421,316,0,0,0,0,3089,131,73,154,1205,1068,312,146
"Census Tract 85, Multnomah County, Oregon",2019,993,14,8,406,500,65,0,0,0,3183,129,51,13,1204,1096,488,202
"Census Tract 86, Multnomah County, Oregon",2019,930,80,9,388,453,0,0,0,0,3058,86,39,86,1057,1123,468,199
"Census Tract 87, Multnomah County, Oregon",2019,1242,26,7,291,879,39,0,0,0,3800,52,87,52,1162,990,972,485
"Census Tract 88, Multnomah County, Oregon",2019,1203,0,0,428,707,39,0,0,29,3224,0,52,60,923,1105,716,368
"Census Tract 89.01, Multnomah County, Oregon",2019,2582,73,88,397,1689,288,40,0,7,7330,197,81,215,2210,2576,1257,794
"Census Tract 89.02, Multnomah County, Oregon",2019,637,25,0,161,412,39,0,0,0,2825,43,83,19,877,1013,570,220
"Census Tract 90, Multnomah County, Oregon",2019,1696,120,73,449,1027,27,0,0,0,7185,162,192,359,2826,2572,608,466
"Census Tract 91.01, Multnomah County, Oregon",2019,937,89,11,362,475,0,0,0,0,3991,99,174,162,1844,1229,419,64
"Census Tract 91.02, Multnomah County, Oregon",2019,1441,81,14,455,870,21,0,0,0,4540,128,52,88,1883,1589,498,302
"Census Tract 92.01, Multnomah County, Oregon",2019,1406,177,0,512,701,3,0,0,13,5622,100,209,86,2289,2081,743,114
"Census Tract 92.02, Multnomah County, Oregon",2019,1050,25,21,503,470,13,0,0,18,3520,205,93,205,1184,1144,474,215
"Census Tract 93.01, Multnomah County, Oregon",2019,840,42,0,135,644,19,0,0,0,4529,61,38,168,1612,1686,634,330
"Census Tract 93.02, Multnomah County, Oregon",2019,902,8,0,297,574,23,0,0,0,3134,55,0,55,1051,1132,559,282
"Census Tract 94, Multnomah County, Oregon",2019,2329,33,0,616,1611,69,0,0,0,5325,98,21,132,1726,1842,1043,463
"Census Tract 95.01, Multnomah County, Oregon",2019,1178,16,38,312,784,28,0,0,0,3318,54,0,79,1201,1167,534,283
"Census Tract 95.02, Multnomah County, Oregon",2019,886,10,13,113,728,22,0,0,0,2827,28,11,14,780,951,672,371
"Census Tract 96.03, Multnomah County, Oregon",2019,819,6,0,226,587,0,0,0,0,2452,46,34,27,960,1068,277,40
"Census Tract 96.04, Multnomah County, Oregon",2019,872,62,27,392,391,0,0,0,0,3282,322,180,118,1025,1237,268,132
"Census Tract 96.05, Multnomah County, Oregon",2019,1049,18,0,182,824,25,0,0,0,4000,34,2,324,1278,1343,722,297
"Census Tract 96.06, Multnomah County, Oregon",2019,603,49,0,268,279,7,0,0,0,3651,67,88,335,1305,1393,272,191
"Census Tract 97.01, Multnomah County, Oregon",2019,1071,0,19,426,614,12,0,0,0,3941,43,68,154,1525,1690,302,159
"Census Tract 97.02, Multnomah County, Oregon",2019,2005,297,0,762,946,0,0,0,0,5208,67,76,388,2341,1754,431,151
"Census Tract 98.01, Multnomah County, Oregon",2019,493,69,9,263,152,0,0,0,0,2730,44,125,129,1336,779,207,110
"Census Tract 98.03, Multnomah County, Oregon",2019,1229,23,15,417,761,0,13,0,0,5393,249,50,184,1794,2039,734,343
"Census Tract 98.04, Multnomah County, Oregon",2019,722,20,14,235,430,23,0,0,0,2292,69,15,83,821,841,389,74
"Census Tract 99.03, Multnomah County, Oregon",2019,1979,52,0,289,1452,165,0,0,21,4672,163,0,69,930,1815,1030,665
"Census Tract 99.04, Multnomah County, Oregon",2019,815,15,58,264,478,0,0,0,0,2511,6,26,49,856,977,435,162
"Census Tract 99.05, Multnomah County, Oregon",2019,930,54,0,256,609,11,0,0,0,2360,0,0,10,699,950,504,197
"Census Tract 99.06, Multnomah County, Oregon",2019,1161,8,14,153,904,82,0,0,0,2700,26,0,46,577,1102,699,250
"Census Tract 99.07, Multnomah County, Oregon",2019,1511,0,9,302,782,369,49,0,0,3869,89,47,154,1181,1342,632,424
"Census Tract 100.01, Multnomah County, Oregon",2019,711,0,0,292,404,0,0,0,15,4051,69,54,157,1396,1412,637,326
"Census Tract 100.02, Multnomah County, Oregon",2019,1232,37,10,318,840,27,0,0,0,3623,49,0,13,1072,1364,708,417
"Census Tract 101, Multnomah County, Oregon",2019,1692,199,32,387,1074,0,0,0,0,6286,30,119,0,2499,2477,777,384
"Census Tract 102, Multnomah County, Oregon",2019,1872,512,110,222,816,198,0,0,14,4614,222,101,65,1822,1321,649,434
"Census Tract 103.03, Multnomah County, Oregon",2019,1079,64,29,220,734,9,0,0,23,3741,0,0,0,1310,1650,543,238
"Census Tract 103.04, Multnomah County, Oregon",2019,705,222,7,137,327,12,0,0,0,2691,66,149,208,1034,952,199,83
"Census Tract 103.05, Multnomah County, Oregon",2019,1057,103,54,265,601,26,8,0,0,2819,35,30,28,867,1185,534,140
"Census Tract 103.06, Multnomah County, Oregon",2019,1111,22,28,210,831,20,0,0,0,3278,51,0,44,1079,1439,458,207
"Census Tract 104.02, Multnomah County, Oregon",2019,1664,14,0,89,962,555,44,0,0,4933,117,73,81,1380,1801,1081,400
"Census Tract 104.05, Multnomah County, Oregon",2019,1048,38,0,290,673,47,0,0,0,4094,68,165,113,1260,1567,670,251
"Census Tract 104.07, Multnomah County, Oregon",2019,1166,14,0,187,839,118,0,0,8,3877,58,0,134,1242,1616,526,301
"Census Tract 104.08, Multnomah County, Oregon",2019,1082,386,9,197,480,10,0,0,0,3673,30,45,133,1521,1319,327,298
"Census Tract 104.09, Multnomah County, Oregon",2019,1896,61,0,241,1517,77,0,0,0,5438,30,0,156,1508,2128,1051,565
"Census Tract 104.10, Multnomah County, Oregon",2019,624,11,40,356,217,0,0,0,0,2950,28,27,47,1207,1080,444,117
"Census Tract 104.11, Multnomah County, Oregon",2019,625,48,20,326,220,11,0,0,0,2336,44,78,71,1021,812,243,67
"Census Tract 105, Multnomah County, Oregon",2019,1303,31,19,119,715,359,18,0,42,2801,13,0,15,647,1101,548,477
"Census Tract 106, Multnomah County, Oregon",2019,288,0,0,0,112,145,9,22,0,2992,72,28,117,708,1219,438,410
"Census Tract 9800, Multnomah County, Oregon",2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Census Tract 1.01, Multnomah County, Oregon",2020,613,0,0,54,305,242,12,0,0,2007,0,0,1,199,384,884,539
"Census Tract 1.02, Multnomah County, Oregon",2020,1196,0,32,40,377,638,96,13,0,2889,0,0,0,243,535,1192,919
"Census Tract 2.01, Multnomah County, Oregon",2020,736,0,0,0,211,507,18,0,0,2697,78,0,1,613,862,684,459
"Census Tract 2.02, Multnomah County, Oregon",2020,569,4,0,0,218,347,0,0,0,2197,4,16,0,158,726,717,576
"Census Tract 3.01, Multnomah County, Oregon",2020,1019,0,0,17,249,736,17,0,0,3769,0,0,43,743,942,1088,953
"Census Tract 3.02, Multnomah County, Oregon",2020,2461,0,14,17,611,1616,164,0,39,5577,133,0,0,490,1035,1869,2050
"Census Tract 4.01, Multnomah County, Oregon",2020,1062,0,0,27,651,384,0,0,0,2720,7,9,14,405,679,859,747
"Census Tract 4.02, Multnomah County, Oregon",2020,965,7,10,98,696,154,0,0,0,2633,10,0,0,628,808,776,411
"Census Tract 5.01, Multnomah County, Oregon",2020,1236,16,0,37,997,177,9,0,0,3194,21,10,102,669,836,1033,523
"Census Tract 5.02, Multnomah County, Oregon",2020,1204,21,0,130,1001,52,0,0,0,3782,213,19,37,704,1301,1012,496
"Census Tract 6.01, Multnomah County, Oregon",2020,1687,16,8,269,968,419,0,0,7,3984,132,23,73,1351,1178,879,348
"Census Tract 6.02, Multnomah County, Oregon",2020,1219,79,7,338,722,57,0,0,16,4725,145,7,263,1844,1326,843,297
"Census Tract 7.01, Multnomah County, Oregon",2020,1421,0,0,75,1068,278,0,0,0,3741,32,27,47,477,1292,1251,615
"Census Tract 7.02, Multnomah County, Oregon",2020,1281,0,0,80,1119,64,18,0,0,4345,142,26,50,1017,1281,1075,754
"Census Tract 8.01, Multnomah County, Oregon",2020,1183,0,0,78,496,609,0,0,0,3991,46,11,16,427,1353,1166,972
"Census Tract 8.02, Multnomah County, Oregon",2020,1124,0,17,34,803,270,0,0,0,4133,0,0,125,723,1227,1608,450
"Census Tract 9.01, Multnomah County, Oregon",2020,927,0,0,20,274,626,7,0,0,3509,7,0,12,188,852,1494,956
"Census Tract 9.02, Multnomah County, Oregon",2020,744,17,0,14,494,219,0,0,0,4162,54,28,114,854,1248,1227,637
"Census Tract 10, Multnomah County, Oregon",2020,1067,0,12,40,509,471,35,0,0,4888,56,0,52,571,1428,1623,1158
"Census Tract 11.01, Multnomah County, Oregon",2020,127,5,0,0,30,86,6,0,0,2631,9,0,2,461,756,962,441
"Census Tract 11.02, Multnomah County, Oregon",2020,309,0,0,0,71,186,18,0,34,1197,0,0,0,109,265,503,320
"Census Tract 12.02, Multnomah County, Oregon",2020,1010,22,10,18,164,725,59,0,12,3000,0,0,0,538,560,987,915
"Census Tract 12.03, Multnomah County, Oregon",2020,327,0,0,18,108,184,17,0,0,2234,19,0,9,283,519,1009,395
"Census Tract 12.04, Multnomah County, Oregon",2020,137,0,16,31,55,35,0,0,0,2246,8,0,0,325,605,885,423
"Census Tract 13.01, Multnomah County, Oregon",2020,579,8,0,19,242,310,0,0,0,3365,31,5,4,291,703,1504,827
"Census Tract 13.02, Multnomah County, Oregon",2020,907,0,7,11,197,692,0,0,0,2946,23,0,0,244,551,1107,1021
"Census Tract 14, Multnomah County, Oregon",2020,1159,44,0,49,450,616,0,0,0,4645,56,0,50,392,1326,1842,979
"Census Tract 15, Multnomah County, Oregon",2020,1133,0,0,13,290,776,41,13,0,2720,4,0,0,188,577,896,1055
"Census Tract 16.01, Multnomah County, Oregon",2020,1457,23,19,56,493,767,62,37,0,4480,18,6,71,882,1013,1525,965
"Census Tract 16.02, Multnomah County, Oregon",2020,1494,62,26,140,1180,80,6,0,0,3872,67,38,5,893,1148,1326,395
"Census Tract 17.02, Multnomah County, Oregon",2020,821,0,0,170,632,19,0,0,0,2970,74,1,28,459,1152,916,340
"Census Tract 17.03, Multnomah County, Oregon",2020,1212,25,0,130,815,242,0,0,0,3049,64,0,10,356,909,959,751
"Census Tract 17.04, Multnomah County, Oregon",2020,923,0,0,216,501,206,0,0,0,2137,11,0,0,666,455,578,427
"Census Tract 18.01, Multnomah County, Oregon",2020,723,0,0,0,383,340,0,0,0,3713,47,28,5,792,851,1282,708
"Census Tract 18.02, Multnomah County, Oregon",2020,799,0,0,41,221,502,35,0,0,2855,0,0,0,329,916,922,688
"Census Tract 19, Multnomah County, Oregon",2020,1607,0,0,10,106,1182,145,110,54,3805,0,9,6,305,633,1625,1227
"Census Tract 20.01, Multnomah County, Oregon",2020,423,0,0,66,98,245,14,0,0,2312,13,0,0,365,486,1072,376
"Census Tract 20.02, Multnomah County, Oregon",2020,308,21,0,0,63,224,0,0,0,3210,5,0,0,360,919,1266,660
"Census Tract 21.01, Multnomah County, Oregon",2020,0,0,0,0,0,0,0,0,0,1311,0,0,20,157,215,552,367
"Census Tract 21.02, Multnomah County, Oregon",2020,127,0,0,0,41,86,0,0,0,1849,0,0,11,114,497,977,250
"Census Tract 22.03, Multnomah County, Oregon",2020,640,0,10,8,210,412,0,0,0,3794,11,0,34,546,674,1215,1314
"Census Tract 23.03, Multnomah County, Oregon",2020,257,0,0,72,57,128,0,0,0,3179,10,0,0,402,908,1295,564
"Census Tract 24.01, Multnomah County, Oregon",2020,876,0,3,60,61,664,74,14,0,2197,0,0,0,320,352,735,790
"Census Tract 24.02, Multnomah County, Oregon",2020,563,0,0,34,250,229,50,0,0,2874,0,0,0,444,511,1255,664
"Census Tract 25.01, Multnomah County, Oregon",2020,1680,0,0,4,113,1364,123,51,25,3556,14,7,0,183,376,1388,1588
"Census Tract 25.02, Multnomah County, Oregon",2020,746,10,0,58,94,415,142,16,11,3560,31,0,14,368,785,1360,1002
"Census Tract 26, Multnomah County, Oregon",2020,1118,13,139,0,119,804,43,0,0,2229,0,0,0,185,359,953,732
"Census Tract 27.01, Multnomah County, Oregon",2020,1153,11,0,21,95,900,126,0,0,2188,0,0,0,161,442,875,710
